CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,cluster_Hierarquico
C10001,-0.7319893664465486,0.818182,-0.424899735240609,-0.3569340222066546,-0.3490788190138386,-0.4667855542850508,0.166667,0.0,0.083333,0.0,-0.4760698174356818,-0.511333250061439,-0.9603784008150248,-0.5289787906610074,-0.297309702179102,0.0,0.3606795442537749,1
C10002,0.7869608532656136,0.909091,-0.4695518820955651,-0.3569340222066546,-0.4545762302747729,2.6056045083204533,0.0,0.0,0.0,0.25,0.1100738515878559,-0.5917958767710622,0.6886784369735642,0.8186421271164631,0.1020424271185305,0.222222,0.3606795442537749,0
C10003,0.4471351319803288,1.0,-0.1076682302732753,0.1088885127680007,-0.4545762302747729,-0.4667855542850508,1.0,1.0,0.0,0.0,-0.4760698174356818,-0.1090201165133234,0.8260998401226133,-0.3838047379522192,-0.0884893436192373,0.0,0.3606795442537749,0
C10004,0.0490991394687836,0.636364,0.2320578467889134,0.5461894563646923,-0.4545762302747729,-0.3686532543762061,0.083333,0.083333,0.0,0.083333,-0.3295339001797974,-0.5515645634162506,0.8260998401226133,-0.5986882602099773,-0.3570349520257533,0.0,0.3606795442537749,0
C10005,-0.3587752952564145,1.0,-0.4620630524343565,-0.3472942786061598,-0.4545762302747729,-0.4667855542850508,0.083333,0.083333,0.0,0.0,-0.4760698174356818,-0.5515645634162506,-0.905409839555405,-0.3643678034135237,-0.2522378757453928,0.0,0.3606795442537749,1
C10006,0.1178783922626168,1.0,0.1544922935729456,-0.3569340222066546,1.0198219718843309,-0.4667855542850508,0.666667,0.0,0.583333,0.0,-0.4760698174356818,-0.2699453699325697,-0.7405041557765462,-0.1150595357186393,0.6735262291961472,0.0,0.3606795442537749,1
C10007,-0.4502772182552461,1.0,2.8494084938998494,3.500547950845556,0.3066638951319561,-0.4667855542850508,1.0,1.0,1.0,0.0,-0.4760698174356818,1.9830081779368776,2.475156677911202,1.5963132599542045,-0.2722413668613637,1.0,0.3606795442537749,2
C10008,0.1245200221560722,1.0,-0.2653876634568662,-0.3569340222066546,0.0277924363082411,-0.4667855542850508,1.0,0.0,1.0,0.0,-0.4760698174356818,-0.1090201165133234,-0.6030827526274971,-0.364115525790407,-0.1292669676931502,0.0,0.3606795442537749,1
C10009,-0.2640262509070659,1.0,-0.066329890543404,0.0416031024365477,-0.2334076532078247,-0.4667855542850508,0.333333,0.083333,0.25,0.0,-0.4760698174356818,-0.3906393099970043,0.6886784369735642,-0.3609328667760588,-0.2234809344460542,0.0,0.3606795442537749,1
C10010,-0.6785040237975313,0.545455,0.1303033737672418,0.4152094401929705,-0.4545762302747729,-0.4667855542850508,0.166667,0.166667,0.0,0.0,-0.4760698174356818,-0.4711019367066275,1.7880496621659567,-0.1963359235272189,-0.3140947555925505,0.0,0.3606795442537749,1
C10011,-0.1303679524865358,1.0,-0.0388880103536128,-0.3569340222066546,0.562931925379429,-0.4667855542850508,1.0,0.0,1.0,0.0,-0.4760698174356818,-0.1090201165133234,-0.905409839555405,-0.2244783558175378,0.5731142485882933,0.0,0.3606795442537749,1
